Instance,Cell_Type,Output_Pin,Fanout,Worst_Slack,Path_Count
FE_OFC35_n1037,BUFx2_bottom,FE_OFC35_n1037/Y,7,36.006863,100
FE_OFC36_n1121,BUFx3_bottom,FE_OFC36_n1121/Y,30,372.642944,56
FE_OFC37_n1121,BUFx2_bottom,FE_OFC37_n1121/Y,17,-3.039097,98
FE_OFC38_n1121,BUFx3_bottom,FE_OFC38_n1121/Y,39,243.609360,64
FE_OFC39_n1664,BUFx3_bottom,FE_OFC39_n1664/Y,24,900.000000,1
FE_OFC3_reset,BUFx8_bottom,FE_OFC3_reset/Y,49,890.943115,49
FE_OFC40_n1664,BUFx3_bottom,FE_OFC40_n1664/Y,25,900.000000,1
FE_OFC41_n1664,BUFx4_bottom,FE_OFC41_n1664/Y,29,900.000000,1
FE_OFC4_reset,BUFx2_bottom,FE_OFC4_reset/Y,12,839.833130,34
FE_OFC5_reset,BUFx4_bottom,FE_OFC5_reset/Y,27,882.596802,27
FE_OFC68_keysched_sbox_access_o,BUFx2_bottom,FE_OFC68_keysched_sbox_access_o/Y,10,75.061737,100
FE_OFC69_n272,BUFx8_bottom,FE_OFC69_n272/Y,75,481.624969,100
FE_OFC6_reset,BUFx10_bottom,FE_OFC6_reset/Y,51,900.000000,51
FE_OFC70_n272,BUFx3_bottom,FE_OFC70_n272/Y,33,481.625031,33
FE_OFC71_n272,BUFx2_bottom,FE_OFC71_n272/Y,22,492.996307,22
FE_OFC72_n1123,BUFx3_bottom,FE_OFC72_n1123/Y,31,385.710541,56
FE_OFC73_n1123,BUFx4_bottom,FE_OFC73_n1123/Y,48,36.006836,100
FE_OFC74_n1123,BUFx4_bottom,FE_OFC74_n1123/Y,41,281.183807,68
FE_OFC75_n1850,BUFx3_bottom,FE_OFC75_n1850/Y,34,684.460632,100
FE_OFC79_FE_DBTN89_n1665,BUFx4_bottom,FE_OFC79_FE_DBTN89_n1665/Y,45,108.261925,200
FE_OFC7_reset,BUFx3_bottom,FE_OFC7_reset/Y,22,817.861145,50
FE_OFC80_FE_DBTN89_n1665,BUFx8_bottom,FE_OFC80_FE_DBTN89_n1665/Y,71,-47.732403,200
FE_OFC81_FE_DBTN89_n1665,BUFx2_bottom,FE_OFC81_FE_DBTN89_n1665/Y,21,-47.732403,200
FE_OFC82_FE_DBTN89_n1665,BUFx4_bottom,FE_OFC82_FE_DBTN89_n1665/Y,42,-47.732403,200
FE_OFC83_n279,BUFx8_bottom,FE_OFC83_n279/Y,64,313.455231,200
FE_OFC84_n279,BUFx3_bottom,FE_OFC84_n279/Y,29,313.455231,130
FE_OFC96_n11,BUFx4_bottom,FE_OFC96_n11/Y,52,-34.693443,200
FE_OFC97_n11,BUFx3_bottom,FE_OFC97_n11/Y,42,43.413300,200
FE_OFC98_n11,BUFx8_bottom,FE_OFC98_n11/Y,74,-34.693443,200
FE_OFC99_n11,BUFx5_bottom,FE_OFC99_n11/Y,56,-18.162861,200
FE_OFC9_reset,BUFx4_bottom,FE_OFC9_reset/Y,28,808.426697,56
U1000,XOR2xp5_bottom,U1000/Y,1,316.672302,2
U1001,OA21x2_bottom,U1001/Y,2,316.672302,2
U1002,AOI22xp5_bottom,U1002/Y,1,316.672302,2
U1003,AOI21xp5_bottom,U1003/Y,1,373.243317,2
U1004,OAI22xp5_bottom,U1004/Y,1,373.243317,2
U1005,XOR2xp5_bottom,U1005/Y,1,374.966217,2
U1006,XOR2xp5_bottom,U1006/Y,1,373.243317,2
U1007,OA21x2_bottom,U1007/Y,2,373.243317,2
U1008,AOI22xp5_bottom,U1008/Y,1,373.243286,2
U1009,AOI21xp5_bottom,U1009/Y,1,372.170807,2
U101,OAI22xp5_bottom,U101/Y,1,57.163662,20
U1010,OAI22xp5_bottom,U1010/Y,1,372.170807,2
U1011,XOR2xp5_bottom,U1011/Y,1,372.969879,2
U1012,XOR2xp5_bottom,U1012/Y,1,372.170807,2
U1013,OA21x2_bottom,U1013/Y,2,372.170807,2
U1014,AOI22xp5_bottom,U1014/Y,1,372.170807,2
U1015,AOI21xp5_bottom,U1015/Y,1,413.948151,2
U1016,OAI22xp5_bottom,U1016/Y,1,413.948151,2
U1017,XOR2xp5_bottom,U1017/Y,1,414.750305,2
U1018,XOR2xp5_bottom,U1018/Y,1,413.948151,2
U1019,OA21x2_bottom,U1019/Y,2,413.948151,2
U1020,AOI22xp5_bottom,U1020/Y,1,413.948090,2
U1021,AOI21xp5_bottom,U1021/Y,1,413.696686,2
U1022,OAI22xp5_bottom,U1022/Y,1,413.696686,2
U1023,XOR2xp5_bottom,U1023/Y,1,414.370880,2
U1024,XOR2xp5_bottom,U1024/Y,1,413.696686,2
U1025,OA21x2_bottom,U1025/Y,2,413.696686,2
U1026,AOI22xp5_bottom,U1026/Y,1,413.696655,2
U1027,AOI21xp5_bottom,U1027/Y,1,393.248322,2
U1028,OAI22xp5_bottom,U1028/Y,1,393.248383,2
U1029,XOR2xp5_bottom,U1029/Y,1,394.423370,2
U103,OAI22xp5_bottom,U103/Y,1,91.550575,24
U1030,XOR2xp5_bottom,U1030/Y,1,393.248383,2
U1031,OA21x2_bottom,U1031/Y,2,393.248383,2
U1032,AOI22xp5_bottom,U1032/Y,1,439.828003,2
U1033,AOI22xp5_bottom,U1033/Y,1,611.843933,1
U1034,AOI22xp5_bottom,U1034/Y,1,611.297363,1
U1035,AOI22xp5_bottom,U1035/Y,1,612.962158,1
U1038,AOI211xp5_bottom,U1038/Y,1,601.775879,2
U1040,A2O1A1Ixp33_bottom,U1040/Y,1,607.128174,2
U1041,NAND3xp33_bottom,U1041/Y,1,607.128174,2
U1042,XOR2xp5_bottom,U1042/Y,2,701.868469,1
U1043,OAI21xp5_bottom,U1043/Y,1,593.967102,2
U1044,XOR2xp5_bottom,U1044/Y,1,593.967041,2
U1045,NAND2xp5_bottom,U1045/Y,1,593.966980,2
U1046,AOI311xp33_bottom,U1046/Y,1,617.684326,2
U105,OAI22xp5_bottom,U105/Y,1,64.366959,24
U1051,AOI221xp5_bottom,U1051/Y,1,678.009399,2
U1052,NAND2xp5_bottom,U1052/Y,1,705.587585,1
U1055,AOI21xp5_bottom,U1055/Y,1,320.268250,2
U1056,OAI22xp5_bottom,U1056/Y,1,320.268250,2
U1057,XOR2xp5_bottom,U1057/Y,1,321.591095,2
U1058,NAND3xp33_bottom,U1058/Y,1,481.624969,100
U1059,XOR2xp5_bottom,U1059/Y,1,320.268250,2
U1060,OA21x2_bottom,U1060/Y,2,320.268250,2
U1061,AOI22xp5_bottom,U1061/Y,1,320.268250,2
U1062,OAI22xp5_bottom,U1062/Y,1,313.455231,200
U1063,NOR2x1_bottom,U1063/Y,1,368.024170,200
U1064,AOI21xp5_bottom,U1064/Y,2,313.455292,200
U1065,AOI21xp5_bottom,U1065/Y,1,381.895416,200
U1066,A2O1A1Ixp33_bottom,U1066/Y,1,399.542633,200
U1069,NAND3xp33_bottom,U1069/Y,2,313.455292,200
U107,OAI22xp5_bottom,U107/Y,1,174.277985,24
U1070,OAI21xp5_bottom,U1070/Y,1,481.554352,100
U1071,AO32x1_bottom,U1071/Y,1,604.710632,1
U1073,AO221x1_bottom,U1073/Y,1,607.547546,2
U1074,AOI21xp5_bottom,U1074/Y,1,607.547546,2
U1075,NAND2xp5_bottom,U1075/Y,3,593.966980,6
U1078,XOR2xp5_bottom,U1078/Y,1,614.805847,2
U1079,NAND2xp5_bottom,U1079/Y,1,614.805847,2
U1080,NAND2xp5_bottom,U1080/Y,2,710.757324,4
U1081,NAND2xp5_bottom,U1081/Y,2,614.805847,4
U1082,NOR2x1_bottom,U1082/Y,2,160.932205,30
U1084,OAI21xp5_bottom,U1084/Y,1,621.624084,2
U1085,OAI21xp5_bottom,U1085/Y,1,621.624084,2
U1086,A2O1A1Ixp33_bottom,U1086/Y,1,621.624084,2
U1087,NAND2xp5_bottom,U1087/Y,7,313.455322,200
U1088,AOI22xp5_bottom,U1088/Y,1,692.187866,2
U1089,XOR2xp5_bottom,U1089/Y,1,697.340149,1
U109,OAI22xp5_bottom,U109/Y,1,141.557434,24
U1090,AND2x2_bottom,U1090/Y,3,700.196045,2
U1091,A2O1A1Ixp33_bottom,U1091/Y,1,691.937866,2
U1092,NAND2xp5_bottom,U1092/Y,2,419.732910,200
U1093,NAND2xp5_bottom,U1093/Y,6,419.732910,200
U1094,NAND2xp5_bottom,U1094/Y,4,434.373138,200
U1095,OAI21xp5_bottom,U1095/Y,5,607.547485,10
U1097,OA21x2_bottom,U1097/Y,4,160.932205,200
U1098,OR2x2_bottom,U1098/Y,6,715.080872,8
U1099,AOI21xp5_bottom,U1099/Y,1,662.347534,1
U11,OAI22xp5_bottom,U11/Y,1,72.701263,24
U1101,NAND5xp2_bottom,U1101/Y,2,512.346863,100
U1103,AND2x2_bottom,U1103/Y,2,223.251114,200
U1104,NAND2xp5_bottom,U1104/Y,2,223.251144,200
U1105,NAND5xp2_bottom,U1105/Y,1,263.678040,200
U1106,NAND2xp5_bottom,U1106/Y,2,160.932205,200
U1107,NAND2xp5_bottom,U1107/Y,1,261.416534,200
U111,OAI22xp5_bottom,U111/Y,1,95.682182,22
U1110,OAI22xp5_bottom,U1110/Y,1,266.421539,88
U1113,OAI22xp5_bottom,U1113/Y,1,341.155914,88
U1116,OAI22xp5_bottom,U1116/Y,1,306.815430,88
U1119,OAI22xp5_bottom,U1119/Y,1,326.926392,88
U1122,OAI22xp5_bottom,U1122/Y,1,336.251709,88
U1125,OAI22xp5_bottom,U1125/Y,1,179.960831,200
U1128,OAI22xp5_bottom,U1128/Y,1,186.943848,200
U113,OAI22xp5_bottom,U113/Y,1,118.684479,22
U1131,OAI22xp5_bottom,U1131/Y,1,184.790848,184
U1134,OAI22xp5_bottom,U1134/Y,1,194.956604,88
U1137,OAI22xp5_bottom,U1137/Y,1,190.518539,88
U1140,OAI22xp5_bottom,U1140/Y,1,188.729813,88
U1143,OAI22xp5_bottom,U1143/Y,1,266.325348,88
U1146,OAI22xp5_bottom,U1146/Y,1,234.013306,88
U1149,OAI22xp5_bottom,U1149/Y,1,234.146591,88
U115,OAI22xp5_bottom,U115/Y,1,85.838974,24
U1152,OAI22xp5_bottom,U1152/Y,1,286.127930,200
U1155,OAI22xp5_bottom,U1155/Y,1,279.650940,200
U1158,OAI22xp5_bottom,U1158/Y,1,277.908539,184
U1161,OAI22xp5_bottom,U1161/Y,1,287.992889,88
U1164,OAI22xp5_bottom,U1164/Y,1,294.891022,88
U1167,OAI22xp5_bottom,U1167/Y,1,352.717377,88
U117,OAI22xp5_bottom,U117/Y,1,75.395050,24
U1170,OAI22xp5_bottom,U1170/Y,1,387.298340,88
U1173,OAI22xp5_bottom,U1173/Y,1,334.924194,88
U1176,OAI22xp5_bottom,U1176/Y,1,274.963043,200
U1179,OAI22xp5_bottom,U1179/Y,1,225.385178,200
U1182,OAI22xp5_bottom,U1182/Y,1,216.810318,200
U1185,OAI22xp5_bottom,U1185/Y,1,209.962357,184
U1188,OAI22xp5_bottom,U1188/Y,1,206.573761,88
U119,OAI22xp5_bottom,U119/Y,1,115.521095,20
U1191,OAI22xp5_bottom,U1191/Y,1,201.143433,88
U1194,OAI22xp5_bottom,U1194/Y,1,197.904465,88
U1197,OAI22xp5_bottom,U1197/Y,1,244.285431,88
U1200,OAI22xp5_bottom,U1200/Y,1,239.882004,88
U1203,OAI22xp5_bottom,U1203/Y,1,338.401459,200
U1206,OAI22xp5_bottom,U1206/Y,1,285.991638,200
U1209,OAI22xp5_bottom,U1209/Y,1,271.697052,200
U121,OAI22xp5_bottom,U121/Y,1,27.509911,24
U1212,OAI22xp5_bottom,U1212/Y,1,329.598022,184
U1215,OAI22xp5_bottom,U1215/Y,1,346.880127,88
U1218,OAI22xp5_bottom,U1218/Y,1,341.941223,88
U1221,OAI22xp5_bottom,U1221/Y,1,343.730682,88
U1224,OAI22xp5_bottom,U1224/Y,1,325.918854,88
U1227,OAI22xp5_bottom,U1227/Y,1,333.916107,88
U123,OAI22xp5_bottom,U123/Y,1,15.646207,24
U1230,OAI22xp5_bottom,U1230/Y,1,207.666656,200
U1233,OAI22xp5_bottom,U1233/Y,1,205.723694,200
U1236,OAI22xp5_bottom,U1236/Y,1,204.043457,184
U1239,OAI22xp5_bottom,U1239/Y,1,211.657364,88
U1242,OAI22xp5_bottom,U1242/Y,1,265.399109,184
U1245,OAI22xp5_bottom,U1245/Y,1,222.285995,88
U1248,OAI22xp5_bottom,U1248/Y,1,221.242447,88
U125,OAI22xp5_bottom,U125/Y,1,72.439247,24
U1251,OAI22xp5_bottom,U1251/Y,1,262.488800,88
U1254,OAI22xp5_bottom,U1254/Y,1,266.997070,88
U1257,OAI22xp5_bottom,U1257/Y,1,286.252930,200
U1260,OAI22xp5_bottom,U1260/Y,1,329.733368,200
U1263,OAI22xp5_bottom,U1263/Y,1,327.810638,184
U1266,OAI22xp5_bottom,U1266/Y,1,336.602997,88
U1269,OAI22xp5_bottom,U1269/Y,1,342.937561,88
U127,OAI22xp5_bottom,U127/Y,1,43.320347,24
U1272,OAI22xp5_bottom,U1272/Y,1,347.961609,88
U1275,OAI22xp5_bottom,U1275/Y,1,283.879517,88
U1278,OAI22xp5_bottom,U1278/Y,1,326.610321,88
U1281,OAI22xp5_bottom,U1281/Y,1,330.956268,88
U1284,OAI22xp5_bottom,U1284/Y,1,223.897156,200
U1287,OAI22xp5_bottom,U1287/Y,1,215.399643,200
U129,OAI22xp5_bottom,U129/Y,1,-8.837181,22
U1290,OAI22xp5_bottom,U1290/Y,1,209.200607,184
U1293,OAI22xp5_bottom,U1293/Y,1,224.488541,88
U1296,OAI22xp5_bottom,U1296/Y,1,225.560181,88
U1299,OAI22xp5_bottom,U1299/Y,1,227.912582,88
U13,OAI22xp5_bottom,U13/Y,1,114.080887,20
U1302,OAI22xp5_bottom,U1302/Y,1,269.175781,88
U1305,OAI22xp5_bottom,U1305/Y,1,271.611969,88
U1308,OAI22xp5_bottom,U1308/Y,1,276.930786,88
U131,OAI22xp5_bottom,U131/Y,1,14.215518,22
U1311,OAI22xp5_bottom,U1311/Y,1,275.964111,200
U1314,OAI22xp5_bottom,U1314/Y,1,274.373322,200
U1317,OAI22xp5_bottom,U1317/Y,1,266.187378,184
U1320,OAI22xp5_bottom,U1320/Y,1,285.392181,88
U1323,OAI22xp5_bottom,U1323/Y,1,277.813324,88
U1326,OAI22xp5_bottom,U1326/Y,1,288.662628,88
U1329,OAI22xp5_bottom,U1329/Y,1,322.692413,88
U133,OAI22xp5_bottom,U133/Y,1,25.304981,24
U1332,OAI22xp5_bottom,U1332/Y,1,328.202789,88
U1335,OAI22xp5_bottom,U1335/Y,1,206.821762,200
U1338,OAI22xp5_bottom,U1338/Y,1,205.230896,200
U1341,OAI22xp5_bottom,U1341/Y,1,284.625671,88
U1344,OAI22xp5_bottom,U1344/Y,1,205.788422,184
U1347,OAI22xp5_bottom,U1347/Y,1,211.194809,88
U135,OAI22xp5_bottom,U135/Y,1,62.392426,20
U1350,OAI22xp5_bottom,U1350/Y,1,218.873062,88
U1353,OAI22xp5_bottom,U1353/Y,1,216.051590,88
U1356,OAI22xp5_bottom,U1356/Y,1,262.152466,88
U1359,OAI22xp5_bottom,U1359/Y,1,264.803497,88
U1362,OAI22xp5_bottom,U1362/Y,1,286.225555,200
U1365,OAI22xp5_bottom,U1365/Y,1,329.575256,200
U1368,OAI22xp5_bottom,U1368/Y,1,279.017151,184
U137,OAI22xp5_bottom,U137/Y,1,37.675697,22
U1371,OAI22xp5_bottom,U1371/Y,1,337.350525,88
U1374,OAI22xp5_bottom,U1374/Y,1,321.698212,88
U1377,OAI22xp5_bottom,U1377/Y,1,342.938141,88
U1380,OAI22xp5_bottom,U1380/Y,1,345.735107,88
U1383,OAI22xp5_bottom,U1383/Y,1,326.200470,88
U1386,OAI22xp5_bottom,U1386/Y,1,329.526306,88
U1389,OAI22xp5_bottom,U1389/Y,1,224.419510,200
U139,OAI22xp5_bottom,U139/Y,1,151.128754,24
U1392,OAI22xp5_bottom,U1392/Y,1,215.758774,200
U1395,OAI22xp5_bottom,U1395/Y,1,208.000168,184
U1398,OAI22xp5_bottom,U1398/Y,1,225.105576,88
U1401,OAI22xp5_bottom,U1401/Y,1,182.562408,200
U1404,OAI22xp5_bottom,U1404/Y,1,191.573593,200
U1407,OAI22xp5_bottom,U1407/Y,1,189.748322,184
U141,OAI22xp5_bottom,U141/Y,1,65.425720,24
U1410,OAI22xp5_bottom,U1410/Y,1,196.850815,88
U1413,OAI22xp5_bottom,U1413/Y,1,192.321991,88
U1416,OAI22xp5_bottom,U1416/Y,1,190.515045,88
U1419,OAI22xp5_bottom,U1419/Y,1,234.595016,88
U1422,OAI22xp5_bottom,U1422/Y,1,237.042557,88
U1425,OAI22xp5_bottom,U1425/Y,1,224.598816,88
U1428,OAI22xp5_bottom,U1428/Y,1,286.343170,200
U143,OAI22xp5_bottom,U143/Y,1,174.279175,24
U1431,OAI22xp5_bottom,U1431/Y,1,280.730652,200
U1434,OAI22xp5_bottom,U1434/Y,1,278.400146,184
U1437,OAI22xp5_bottom,U1437/Y,1,288.450989,88
U1440,OAI22xp5_bottom,U1440/Y,1,295.272156,88
U1443,OAI22xp5_bottom,U1443/Y,1,301.838531,88
U1446,OAI22xp5_bottom,U1446/Y,1,327.642059,88
U1449,OAI22xp5_bottom,U1449/Y,1,390.310791,88
U145,OAI22xp5_bottom,U145/Y,1,145.467422,24
U1452,OAI22xp5_bottom,U1452/Y,1,224.966324,200
U1455,OAI22xp5_bottom,U1455/Y,1,216.495239,200
U1458,OAI22xp5_bottom,U1458/Y,1,224.467468,88
U1461,OAI22xp5_bottom,U1461/Y,1,209.652374,184
U1464,OAI22xp5_bottom,U1464/Y,1,226.280106,88
U1467,OAI22xp5_bottom,U1467/Y,1,227.292221,88
U147,OAI22xp5_bottom,U147/Y,1,38.171135,22
U1470,OAI22xp5_bottom,U1470/Y,1,199.606110,88
U1473,OAI22xp5_bottom,U1473/Y,1,246.640930,88
U1476,OAI22xp5_bottom,U1476/Y,1,242.142258,88
U1479,OAI22xp5_bottom,U1479/Y,1,339.534424,200
U1482,OAI22xp5_bottom,U1482/Y,1,286.320435,200
U1485,OAI22xp5_bottom,U1485/Y,1,281.589111,184
U1488,OAI22xp5_bottom,U1488/Y,1,299.079987,88
U149,OAI22xp5_bottom,U149/Y,1,119.298546,22
U1491,OAI22xp5_bottom,U1491/Y,1,325.243622,88
U1493,AND2x4_bottom,U1493/Y,36,-34.693443,200
U1494,NAND2xp5_bottom,U1494/Y,2,-34.693443,200
U1495,NAND2xp5_bottom,U1495/Y,3,-32.445156,200
U15,OAI22xp5_bottom,U15/Y,1,-13.301250,24
U1500,NAND2xp5_bottom,U1500/Y,2,75.061760,100
U1501,AO22x1_bottom,U1501/Y,2,378.610443,32
U1502,XNOR2xp5_bottom,U1502/Y,2,488.999573,33
U1503,OR2x2_bottom,U1503/Y,1,488.999634,33
U1504,AO22x1_bottom,U1504/Y,5,392.939240,32
U1505,XNOR2xp5_bottom,U1505/Y,2,509.693298,33
U1506,OAI22xp5_bottom,U1506/Y,3,352.888855,32
U1507,OAI21xp5_bottom,U1507/Y,2,491.450256,33
U1508,NAND2xp5_bottom,U1508/Y,3,488.999634,35
U1509,AO221x1_bottom,U1509/Y,3,368.167603,32
U151,OAI22xp5_bottom,U151/Y,1,27.664982,24
U1510,OAI22xp5_bottom,U1510/Y,2,27.927771,26
U1513,OAI22xp5_bottom,U1513/Y,1,375.098694,8
U1516,OAI22xp5_bottom,U1516/Y,1,373.359497,8
U1519,OAI22xp5_bottom,U1519/Y,1,332.812012,8
U1522,OAI22xp5_bottom,U1522/Y,1,321.000610,8
U1525,OAI22xp5_bottom,U1525/Y,1,302.890991,6
U1528,OAI22xp5_bottom,U1528/Y,1,301.037140,6
U153,OAI22xp5_bottom,U153/Y,1,68.713066,20
U1531,OAI22xp5_bottom,U1531/Y,1,301.628784,6
U1534,OAI22xp5_bottom,U1534/Y,1,302.805603,6
U1537,OAI22xp5_bottom,U1537/Y,1,305.703125,6
U1540,OAI22xp5_bottom,U1540/Y,1,305.289917,6
U1543,OAI22xp5_bottom,U1543/Y,2,65.492889,22
U1546,OAI22xp5_bottom,U1546/Y,1,307.683838,6
U1549,OAI22xp5_bottom,U1549/Y,1,308.599030,6
U155,OAI22xp5_bottom,U155/Y,1,23.552771,24
U1552,OAI22xp5_bottom,U1552/Y,1,407.326965,6
U1555,OAI22xp5_bottom,U1555/Y,1,413.136169,6
U1558,OAI22xp5_bottom,U1558/Y,1,411.853943,6
U1561,OAI22xp5_bottom,U1561/Y,1,410.306580,6
U1564,OAI22xp5_bottom,U1564/Y,1,410.024475,6
U1567,OAI22xp5_bottom,U1567/Y,1,410.211151,6
U157,OAI22xp5_bottom,U157/Y,1,4.370199,24
U1570,OAI22xp5_bottom,U1570/Y,1,413.000763,6
U1573,OAI22xp5_bottom,U1573/Y,1,412.390503,6
U1576,OAI22xp5_bottom,U1576/Y,2,75.612877,26
U1579,OAI22xp5_bottom,U1579/Y,1,351.436829,6
U1582,OAI22xp5_bottom,U1582/Y,1,315.445282,6
U1585,OAI22xp5_bottom,U1585/Y,1,314.274994,6
U1588,OAI22xp5_bottom,U1588/Y,1,313.554169,6
U159,OAI22xp5_bottom,U159/Y,1,60.736000,22
U1591,OAI22xp5_bottom,U1591/Y,1,310.730042,6
U1594,OAI22xp5_bottom,U1594/Y,1,309.943451,6
U1597,OAI22xp5_bottom,U1597/Y,1,309.744232,6
U1600,OAI22xp5_bottom,U1600/Y,1,312.774689,6
U1603,OAI22xp5_bottom,U1603/Y,1,408.230072,6
U1606,OAI22xp5_bottom,U1606/Y,1,408.245148,6
U1609,OAI22xp5_bottom,U1609/Y,2,51.971260,26
U161,OAI22xp5_bottom,U161/Y,1,61.694038,24
U1612,OAI22xp5_bottom,U1612/Y,1,407.686493,6
U1615,OAI22xp5_bottom,U1615/Y,1,408.108978,6
U1618,OAI22xp5_bottom,U1618/Y,1,408.145050,6
U1621,OAI22xp5_bottom,U1621/Y,1,407.061432,6
U1624,OAI22xp5_bottom,U1624/Y,1,362.638519,6
U1627,OAI22xp5_bottom,U1627/Y,1,365.407532,6
U163,OAI22xp5_bottom,U163/Y,1,32.524067,24
U1630,OAI22xp5_bottom,U1630/Y,1,342.129608,4
U1633,OAI22xp5_bottom,U1633/Y,1,339.297272,4
U1636,OAI22xp5_bottom,U1636/Y,1,341.206573,4
U1639,OAI22xp5_bottom,U1639/Y,1,341.695953,4
U1642,OAI22xp5_bottom,U1642/Y,2,123.734055,26
U1645,OAI22xp5_bottom,U1645/Y,1,342.177277,4
U1648,OAI22xp5_bottom,U1648/Y,1,342.140869,4
U165,OAI22xp5_bottom,U165/Y,1,-16.979973,22
U1651,OAI22xp5_bottom,U1651/Y,1,343.881378,4
U1654,OAI22xp5_bottom,U1654/Y,1,344.975220,4
U1657,OAI22xp5_bottom,U1657/Y,1,440.358185,4
U1660,OAI22xp5_bottom,U1660/Y,1,445.890930,4
