cell_name,a,b
INVx13,1.092204e-01,2.194319e+00
INVx2,7.291782e-01,2.408906e+00
INVx3,4.877145e-01,2.153922e+00
INVx4,3.622947e-01,2.314024e+00
INVx5,2.919873e-01,2.165177e+00
INVx6,2.411744e-01,2.394088e+00
INVx8,1.802220e-01,2.254264e+00
MAJIxp5,1.569527e+00,4.183065e+00
MAJx2,7.498656e-01,5.947741e+00
MAJx3,5.031503e-01,5.877417e+00
NAND2x1,1.355710e+00,2.168607e+00
NAND2x1p5,1.874352e+00,3.467823e+00
NAND2x2,6.788724e-01,2.090372e+00
NAND2xp5,3.509572e+00,3.257568e+00
NAND3x1,1.325779e+00,2.025172e+00
NAND3x2,6.634694e-01,2.076485e+00
NAND3xp33,3.963321e+00,3.276456e+00
NAND4xp25,4.437378e+00,3.317765e+00
NAND4xp75,6.908342e-01,8.083714e-01
NAND5xp2,4.980230e+00,2.955070e+00
NOR2x1,1.417554e+00,2.235463e+00
NOR2x2,7.081018e-01,2.174028e+00
NOR3x1,1.411007e+00,2.045635e+00
NOR3x2,7.052620e-01,2.152235e+00
NOR3xp33,4.230307e+00,3.091608e+00
NOR4xp25,4.972335e+00,3.111176e+00
NOR5xp2,5.713629e+00,3.144142e+00
O2A1O1Ixp33,2.315163e+00,5.479581e-01
O2A1O1Ixp5,4.507381e+00,3.725357e+00
OA211x2,6.714004e-01,-6.485213e+00
OA21x2,6.797630e-01,1.476297e+00
OA221x2,6.824321e-01,2.960932e+00
OA222x2,6.801050e-01,2.011135e+00
OA22x2,6.824997e-01,1.695627e+00
OA31x2,6.745184e-01,-3.675027e+00
OA331x1,1.396371e+00,7.999610e+00
OA331x2,7.095333e-01,1.049540e+01
OA332x1,1.394905e+00,9.693527e+00
OA332x2,6.984211e-01,9.728754e+00
OA333x1,1.413349e+00,1.320811e+01
OA333x2,7.074587e-01,1.344377e+01
OA33x2,7.094388e-01,1.324081e+01
OAI21xp5,2.024618e+00,1.982958e+00
OAI222xp33,7.116484e+00,4.707833e+00
OAI22xp5,2.382002e+00,1.733627e+00
OAI311xp33,1.705489e+00,1.068718e+00
OAI321xp33,5.915528e+00,3.710038e+00
OAI322xp33,6.846913e+00,4.021593e+00
OAI331xp33,7.548767e+00,4.944218e+00
OAI332xp33,3.842764e+00,7.724676e+00
OAI333xp33,3.287483e+00,2.693639e+00
OR2x2,7.431797e-01,3.413573e+00
OR2x4,3.689671e-01,-1.111314e+00
OR3x1,1.493560e+00,2.412223e+00
OR3x2,7.427170e-01,2.216742e+00
OR3x4,3.750417e-01,3.233742e+00
OR4x1,1.487431e+00,2.847379e+00
OR4x2,7.401382e-01,2.859071e+00
OR5x1,1.494358e+00,2.252746e+00
OR5x2,7.506166e-01,2.899780e+00
SDFHx1,1.323289e+00,-4.308997e+00
SDFHx2,6.476091e-01,-6.066573e+00
SDFHx3,4.102335e-01,-7.240032e+00
SDFHx4,3.685506e-01,1.370936e+01
SDFLx1,1.328616e+00,-4.008545e+00
SDFLx2,6.454102e-01,-6.259736e+00
SDFLx3,4.083875e-01,-7.368955e+00
SDFLx4,3.685096e-01,1.701583e+01
XNOR2x2,7.380106e-01,-7.514028e-01
XNOR2xp5,2.301918e+00,2.553598e+00
XOR2x2,7.393882e-01,-9.884017e-01
XOR2xp5,2.426920e+00,2.510562e+00
